id,objectid,nombre,direccion,tipozona,so2,no2,o3,co,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid,lon,lat,created_at
474,19,Centro,VALÈNCIA CENTRE,Urbana,,34,,,17,7,Tráfico,2025-12-01 11:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 11:57:57.287123
475,21,Olivereta,OLIVERETA,Urbana,,50,,,14,7,Tráfico,2025-12-01 11:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 11:57:57.287123
476,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,25,0,9,5,Tráfico,2025-12-01 11:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 11:57:57.287123
477,16,Pista de Silla,PISTA DE SILLA,Urbana,2,35,33,0,12,6,Tráfico,2025-12-01 11:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 11:57:57.287123
478,18,Viveros,VIVERS,Urbana,0,28,20,,,,Fondo,2025-12-01 11:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 11:57:57.287123
479,22,Patraix,PATRAIX,Urbana,,55,,,18,8,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 11:57:57.287123
480,20,Cabanyal,CABANYAL,Urbana,,39,,,15,5,Fondo,2025-12-01 11:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 11:57:57.287123
481,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,16,28,,9,5,Fondo,2025-12-01 11:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 11:57:57.287123
482,13,Francia,AVDA.FRANCIA,Urbana,2,33,23,0,12,5,Tráfico,2025-12-01 11:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 11:57:57.287123
483,14,Boulevar Sur,BULEVARD SUD,Urbana,5,35,20,,,,Tráfico,2025-12-01 11:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 11:57:57.287123
484,12,Dr. Lluch,DR.LLUCH,Urbana,,54,,,25,7,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 11:57:57.287123
485,19,Centro,VALÈNCIA CENTRE,Urbana,,34,,,17,7,Tráfico,2025-12-01 11:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 12:03:54.193646
486,21,Olivereta,OLIVERETA,Urbana,,50,,,14,7,Tráfico,2025-12-01 11:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 12:03:54.193646
487,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,25,0,9,5,Tráfico,2025-12-01 11:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 12:03:54.193646
488,16,Pista de Silla,PISTA DE SILLA,Urbana,2,35,33,0,12,6,Tráfico,2025-12-01 11:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 12:03:54.193646
489,18,Viveros,VIVERS,Urbana,0,28,20,,,,Fondo,2025-12-01 11:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 12:03:54.193646
490,22,Patraix,PATRAIX,Urbana,,55,,,18,8,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 12:03:54.193646
491,20,Cabanyal,CABANYAL,Urbana,,39,,,15,5,Fondo,2025-12-01 11:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 12:03:54.193646
492,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,16,28,,9,5,Fondo,2025-12-01 11:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 12:03:54.193646
493,13,Francia,AVDA.FRANCIA,Urbana,2,33,23,0,12,5,Tráfico,2025-12-01 11:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 12:03:54.193646
494,14,Boulevar Sur,BULEVARD SUD,Urbana,5,35,20,,,,Tráfico,2025-12-01 11:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 12:03:54.193646
495,12,Dr. Lluch,DR.LLUCH,Urbana,,54,,,25,7,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 12:03:54.193646
496,19,Centro,VALÈNCIA CENTRE,Urbana,,34,,,17,7,Tráfico,2025-12-01 11:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 12:12:57.585838
497,21,Olivereta,OLIVERETA,Urbana,,50,,,14,7,Tráfico,2025-12-01 11:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 12:12:57.585838
498,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,25,0,9,5,Tráfico,2025-12-01 11:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 12:12:57.585838
499,16,Pista de Silla,PISTA DE SILLA,Urbana,2,35,33,0,12,6,Tráfico,2025-12-01 11:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 12:12:57.585838
500,18,Viveros,VIVERS,Urbana,0,28,20,,,,Fondo,2025-12-01 11:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 12:12:57.585838
501,22,Patraix,PATRAIX,Urbana,,55,,,18,8,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 12:12:57.585838
502,20,Cabanyal,CABANYAL,Urbana,,39,,,15,5,Fondo,2025-12-01 11:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 12:12:57.585838
503,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,16,28,,9,5,Fondo,2025-12-01 11:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 12:12:57.585838
504,13,Francia,AVDA.FRANCIA,Urbana,2,33,23,0,12,5,Tráfico,2025-12-01 11:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 12:12:57.585838
505,14,Boulevar Sur,BULEVARD SUD,Urbana,5,35,20,,,,Tráfico,2025-12-01 11:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 12:12:57.585838
506,12,Dr. Lluch,DR.LLUCH,Urbana,,54,,,25,7,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 12:12:57.585838
507,19,Centro,VALÈNCIA CENTRE,Urbana,,34,,,17,7,Tráfico,2025-12-01 11:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 12:18:57.781915
508,21,Olivereta,OLIVERETA,Urbana,,50,,,14,7,Tráfico,2025-12-01 11:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 12:18:57.781915
509,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,25,0,9,5,Tráfico,2025-12-01 11:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 12:18:57.781915
510,16,Pista de Silla,PISTA DE SILLA,Urbana,2,35,33,0,12,6,Tráfico,2025-12-01 11:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 12:18:57.781915
511,18,Viveros,VIVERS,Urbana,0,28,20,,,,Fondo,2025-12-01 11:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 12:18:57.781915
512,22,Patraix,PATRAIX,Urbana,,55,,,18,8,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 12:18:57.781915
513,20,Cabanyal,CABANYAL,Urbana,,39,,,15,5,Fondo,2025-12-01 11:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 12:18:57.781915
514,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,16,28,,9,5,Fondo,2025-12-01 11:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 12:18:57.781915
515,13,Francia,AVDA.FRANCIA,Urbana,2,33,23,0,12,5,Tráfico,2025-12-01 11:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 12:18:57.781915
516,14,Boulevar Sur,BULEVARD SUD,Urbana,5,35,20,,,,Tráfico,2025-12-01 11:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 12:18:57.781915
517,12,Dr. Lluch,DR.LLUCH,Urbana,,54,,,25,7,Tráfico,2025-12-01 11:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 12:18:57.781915
518,12,Dr. Lluch,DR.LLUCH,Urbana,,50,,,26,7,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 12:27:57.986017
519,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 12:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 12:27:57.986017
520,17,Universidad Politécnica,POLITÈCNIC,Suburbana,3,15,26,,9,5,Fondo,2025-12-01 12:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 12:27:57.986017
521,14,Boulevar Sur,BULEVARD SUD,Urbana,4,32,20,,,,Tráfico,2025-12-01 12:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 12:27:57.986017
522,22,Patraix,PATRAIX,Urbana,,56,,,18,8,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 12:27:57.986017
523,19,Centro,VALÈNCIA CENTRE,Urbana,,32,,,17,7,Tráfico,2025-12-01 12:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 12:27:57.986017
524,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 12:27:57.986017
525,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,0,0,27,0,9,5,Tráfico,2025-12-01 12:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 12:27:57.986017
526,16,Pista de Silla,PISTA DE SILLA,Urbana,2,33,33,0,12,6,Tráfico,2025-12-01 12:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 12:27:57.986017
527,20,Cabanyal,CABANYAL,Urbana,,36,,,16,6,Fondo,2025-12-01 12:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 12:27:57.986017
528,18,Viveros,VIVERS,Urbana,0,23,19,,,,Fondo,2025-12-01 12:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 12:27:57.986017
529,12,Dr. Lluch,DR.LLUCH,Urbana,,50,,,26,7,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 12:33:58.368942
530,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 12:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 12:33:58.368942
531,17,Universidad Politécnica,POLITÈCNIC,Suburbana,3,15,26,,9,5,Fondo,2025-12-01 12:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 12:33:58.368942
532,14,Boulevar Sur,BULEVARD SUD,Urbana,4,32,20,,,,Tráfico,2025-12-01 12:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 12:33:58.368942
533,22,Patraix,PATRAIX,Urbana,,56,,,18,8,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 12:33:58.368942
534,19,Centro,VALÈNCIA CENTRE,Urbana,,32,,,17,7,Tráfico,2025-12-01 12:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 12:33:58.368942
535,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 12:33:58.368942
536,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,0,0,27,0,9,5,Tráfico,2025-12-01 12:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 12:33:58.368942
537,16,Pista de Silla,PISTA DE SILLA,Urbana,2,33,33,0,12,6,Tráfico,2025-12-01 12:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 12:33:58.368942
538,20,Cabanyal,CABANYAL,Urbana,,36,,,16,6,Fondo,2025-12-01 12:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 12:33:58.368942
539,18,Viveros,VIVERS,Urbana,0,23,19,,,,Fondo,2025-12-01 12:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 12:33:58.368942
562,12,Dr. Lluch,DR.LLUCH,Urbana,,50,,,26,7,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 13:15:26.057993
563,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 12:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 13:15:26.057993
564,17,Universidad Politécnica,POLITÈCNIC,Suburbana,3,15,26,,9,5,Fondo,2025-12-01 12:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 13:15:26.057993
565,14,Boulevar Sur,BULEVARD SUD,Urbana,4,32,20,,,,Tráfico,2025-12-01 12:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 13:15:26.057993
566,22,Patraix,PATRAIX,Urbana,,56,,,18,8,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 13:15:26.057993
567,19,Centro,VALÈNCIA CENTRE,Urbana,,32,,,17,7,Tráfico,2025-12-01 12:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 13:15:26.057993
568,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 13:15:26.057993
569,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,0,0,27,0,9,5,Tráfico,2025-12-01 12:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 13:15:26.057993
570,16,Pista de Silla,PISTA DE SILLA,Urbana,2,33,33,0,12,6,Tráfico,2025-12-01 12:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 13:15:26.057993
571,20,Cabanyal,CABANYAL,Urbana,,36,,,16,6,Fondo,2025-12-01 12:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 13:15:26.057993
572,18,Viveros,VIVERS,Urbana,0,23,19,,,,Fondo,2025-12-01 12:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 13:15:26.057993
573,12,Dr. Lluch,DR.LLUCH,Urbana,,50,,,26,7,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 13:18:56.149983
574,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 12:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 13:18:56.149983
575,17,Universidad Politécnica,POLITÈCNIC,Suburbana,3,15,26,,9,5,Fondo,2025-12-01 12:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 13:18:56.149983
576,14,Boulevar Sur,BULEVARD SUD,Urbana,4,32,20,,,,Tráfico,2025-12-01 12:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 13:18:56.149983
577,22,Patraix,PATRAIX,Urbana,,56,,,18,8,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 13:18:56.149983
578,19,Centro,VALÈNCIA CENTRE,Urbana,,32,,,17,7,Tráfico,2025-12-01 12:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 13:18:56.149983
579,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 13:18:56.149983
580,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,0,0,27,0,9,5,Tráfico,2025-12-01 12:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 13:18:56.149983
581,16,Pista de Silla,PISTA DE SILLA,Urbana,2,33,33,0,12,6,Tráfico,2025-12-01 12:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 13:18:56.149983
582,20,Cabanyal,CABANYAL,Urbana,,36,,,16,6,Fondo,2025-12-01 12:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 13:18:56.149983
583,18,Viveros,VIVERS,Urbana,0,23,19,,,,Fondo,2025-12-01 12:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 13:18:56.149983
584,12,Dr. Lluch,DR.LLUCH,Urbana,,50,,,26,7,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 13:22:41.991626
585,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 12:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 13:22:41.991626
586,17,Universidad Politécnica,POLITÈCNIC,Suburbana,3,15,26,,9,5,Fondo,2025-12-01 12:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 13:22:41.991626
587,14,Boulevar Sur,BULEVARD SUD,Urbana,4,32,20,,,,Tráfico,2025-12-01 12:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 13:22:41.991626
588,22,Patraix,PATRAIX,Urbana,,56,,,18,8,Tráfico,2025-12-01 12:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 13:22:41.991626
589,19,Centro,VALÈNCIA CENTRE,Urbana,,32,,,17,7,Tráfico,2025-12-01 12:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 13:22:41.991626
590,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 13:22:41.991626
591,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,0,0,27,0,9,5,Tráfico,2025-12-01 12:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 13:22:41.991626
592,16,Pista de Silla,PISTA DE SILLA,Urbana,2,33,33,0,12,6,Tráfico,2025-12-01 12:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 13:22:41.991626
593,20,Cabanyal,CABANYAL,Urbana,,36,,,16,6,Fondo,2025-12-01 12:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 13:22:41.991626
594,18,Viveros,VIVERS,Urbana,0,23,19,,,,Fondo,2025-12-01 12:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 13:22:41.991626
595,19,Centro,VALÈNCIA CENTRE,Urbana,,25,,,18,7,Tráfico,2025-12-01 13:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 13:37:54.479668
596,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 13:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 13:37:54.479668
597,14,Boulevar Sur,BULEVARD SUD,Urbana,4,26,22,,,,Tráfico,2025-12-01 13:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 13:37:54.479668
598,12,Dr. Lluch,DR.LLUCH,Urbana,,38,,,26,7,Tráfico,2025-12-01 13:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 13:37:54.479668
599,22,Patraix,PATRAIX,Urbana,,49,,,18,8,Tráfico,2025-12-01 13:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 13:37:54.479668
600,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,31,0,9,5,Tráfico,2025-12-01 13:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 13:37:54.479668
601,20,Cabanyal,CABANYAL,Urbana,,30,,,17,6,Fondo,2025-12-01 13:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 13:37:54.479668
602,18,Viveros,VIVERS,Urbana,0,11,20,,,,Fondo,2025-12-01 13:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 13:37:54.479668
603,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 13:37:54.479668
604,16,Pista de Silla,PISTA DE SILLA,Urbana,2,23,33,0,13,7,Tráfico,2025-12-01 13:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 13:37:54.479668
605,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,13,26,,9,5,Fondo,2025-12-01 13:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 13:37:54.479668
606,19,Centro,VALÈNCIA CENTRE,Urbana,,25,,,18,7,Tráfico,2025-12-01 13:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 13:43:33.455752
607,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 13:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 13:43:33.455752
608,14,Boulevar Sur,BULEVARD SUD,Urbana,4,26,22,,,,Tráfico,2025-12-01 13:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 13:43:33.455752
609,12,Dr. Lluch,DR.LLUCH,Urbana,,38,,,26,7,Tráfico,2025-12-01 13:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 13:43:33.455752
610,22,Patraix,PATRAIX,Urbana,,49,,,18,8,Tráfico,2025-12-01 13:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 13:43:33.455752
611,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,31,0,9,5,Tráfico,2025-12-01 13:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 13:43:33.455752
612,20,Cabanyal,CABANYAL,Urbana,,30,,,17,6,Fondo,2025-12-01 13:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 13:43:33.455752
613,18,Viveros,VIVERS,Urbana,0,11,20,,,,Fondo,2025-12-01 13:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 13:43:33.455752
614,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 13:43:33.455752
615,16,Pista de Silla,PISTA DE SILLA,Urbana,2,23,33,0,13,7,Tráfico,2025-12-01 13:00:00,Buena,A04_PISTASILLA_60m,39.4580609536967,-0.376643936579157,2025-12-01 13:43:33.455752
616,17,Universidad Politécnica,POLITÈCNIC,Suburbana,2,13,26,,9,5,Fondo,2025-12-01 13:00:00,Buena,A05_POLITECNIC_60m,39.4796444969291,-0.337400660521869,2025-12-01 13:43:33.455752
617,19,Centro,VALÈNCIA CENTRE,Urbana,,25,,,18,7,Tráfico,2025-12-01 13:00:00,Buena,A07_VALENCIACENTRE_60m,39.4705476702601,-0.376397651655324,2025-12-01 13:52:55.112265
618,21,Olivereta,OLIVERETA,Urbana,,50,,,15,7,Tráfico,2025-12-01 13:00:00,Buena,A10_OLIVERETA_60m,39.4692442350919,-0.405923445529068,2025-12-01 13:52:55.112265
619,14,Boulevar Sur,BULEVARD SUD,Urbana,4,26,22,,,,Tráfico,2025-12-01 13:00:00,Buena,A02_BULEVARDSUD_60m,39.4503960055054,-0.396337564375856,2025-12-01 13:52:55.112265
620,12,Dr. Lluch,DR.LLUCH,Urbana,,38,,,26,7,Tráfico,2025-12-01 13:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,39.4666847554611,-0.328289489402739,2025-12-01 13:52:55.112265
621,22,Patraix,PATRAIX,Urbana,,49,,,18,8,Tráfico,2025-12-01 13:00:00,Razonablemente Buena,A11_PATRAIX_60m,39.4591890899964,-0.401411329219129,2025-12-01 13:52:55.112265
622,15,Molí del Sol,MOLÍ DEL SOL,Suburbana,1,0,31,0,9,5,Tráfico,2025-12-01 13:00:00,Buena,A03_MOLISOL_60m,39.4811121109041,-0.408809896900938,2025-12-01 13:52:55.112265
623,20,Cabanyal,CABANYAL,Urbana,,30,,,17,6,Fondo,2025-12-01 13:00:00,Buena,A09_CABANYAL_60m,39.4743907853568,-0.328534813492744,2025-12-01 13:52:55.112265
624,18,Viveros,VIVERS,Urbana,0,11,20,,,,Fondo,2025-12-01 13:00:00,Buena,A06_VIVERS_60m,39.4796409248053,-0.36964822314381,2025-12-01 13:52:55.112265
625,13,Francia,AVDA.FRANCIA,Urbana,2,28,19,0,14,5,Tráfico,2025-12-01 12:00:00,Buena,A01_AVFRANCIA_60m,39.4578268875183,-0.342986232422652,2025-12-01 13:52:55.112265
